id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
2857467;Denis M. Bayada|Peter D. J. Grootenhuis|Richard A. Engh|Ronald M. A. Knegtel|Vincent J. van Geerestein|Wolfgang von der Saal;;;;;;;http://dx.doi.org/10.1023/A:1008014604433;;Journal of Computer-Aided Molecular Design;journals/jcamd/KnegtelBESGG99;2011-05-24;;;2;167-183;;;;;;;Comparison of two implementations of the incremental construction algorithm in flexible docking of thrombin inhibitors.;;;db/journals/jcamd/jcamd13.html#KnegtelBESGG99;13;1999
2857468;Igor V. Tetko;;;;;;;http://dx.doi.org/10.1007/s10822-011-9513-2;;Journal of Computer-Aided Molecular Design;journals/jcamd/Tetko12;2012-01-31;;;1;135-136;;;;;;;The perspectives of computational chemistry modeling.;;;db/journals/jcamd/jcamd26.html#Tetko12;26;2012
2857469;Franco Lombardo|Scot Mente;;;;;;;http://dx.doi.org/10.1007/s10822-005-9001-7;;Journal of Computer-Aided Molecular Design;journals/jcamd/MenteL05;2014-02-16;;;7;465-481;;;;;;;A recursive-partitioning model for blood-brain barrier permeation.;;;db/journals/jcamd/jcamd19.html#MenteL05;19;2005
2857470;Brian W. Clare;;;;;;;http://dx.doi.org/10.1023/A:1021966231380;;Journal of Computer-Aided Molecular Design;journals/jcamd/Clare02;2011-05-24;;;8-9;611-633;;;;;;;QSAR of benzene derivatives: comparison of classical descriptors, quantum theoretic parameters and flip regression, exemplified by phenylalkylamine hallucinogens.;;;db/journals/jcamd/jcamd16.html#Clare02;16;2002
2857471;Rajarshi Guha|Stephan C. Schürer;;;;;;;http://dx.doi.org/10.1007/s10822-008-9192-9;;Journal of Computer-Aided Molecular Design;journals/jcamd/GuhaS08;2014-02-12;;;6-7;367-384;;;;;;;Utilizing high throughput screening data for predictive toxicology models: protocols and application to MLSCN assays.;;;db/journals/jcamd/jcamd22.html#GuhaS08;22;2008
2857472;Alexander M. Smondyrev|David E. Shaw|Eric H. Knoll|Richard A. Friesner|Shashidhar N. Rao|Steven L. Dixon;;;;;;;http://dx.doi.org/10.1007/s10822-006-9087-6;;Journal of Computer-Aided Molecular Design;journals/jcamd/DixonSKRSF06;2014-02-16;;;10-11;647-671;;;;;;;PHASE: a new engine for pharmacophore perception, 3D QSAR model development, and 3D database screening: 1. Methodology and preliminary results.;;;db/journals/jcamd/jcamd20.html#DixonSKRSF06;20;2006
2857473;Gerald M. Maggiora|Jürgen Bajorath|Ye Hu;;;;;;;http://dx.doi.org/10.1007/s10822-012-9632-4;;Journal of Computer-Aided Molecular Design;journals/jcamd/HuMB13;2013-03-06;;;2;115-124;;;;;;;Activity cliffs in PubChem confirmatory bioassays taking inactive compounds into account.;;;db/journals/jcamd/jcamd27.html#HuMB13;27;2013
2857474;Andrew R. Leach|Richard A. Lewis;;;;;;;http://dx.doi.org/10.1007/BF00125381;;Journal of Computer-Aided Molecular Design;journals/jcamd/LewisL94;2011-05-24;;;4;467-475;;;;;;;Current methods for site-directed structure generation.;;;db/journals/jcamd/jcamd8.html#LewisL94;8;1994
2857475;David T. Stanton;;;;;;;http://dx.doi.org/10.1007/s10822-008-9204-9;;Journal of Computer-Aided Molecular Design;journals/jcamd/Stanton08;2014-02-12;;;6-7;441-460;;;;;;;On the importance of topological descriptors in understanding structure-property relationships.;;;db/journals/jcamd/jcamd22.html#Stanton08;22;2008
2857476;John H. Van Drie;;;;;;;http://dx.doi.org/10.1007/BF00134184;;Journal of Computer-Aided Molecular Design;journals/jcamd/Drie96;2011-05-24;;;6;623-630;;;;;;;An inequality for 3D database searching and its use in evaluating the treatment of conformational flexibility.;;;db/journals/jcamd/jcamd10.html#Drie96;10;1996
2857477;Aina Westrheim Ravna|Ingebrigt Sylte|Svein G. Dahl;;;;;;;http://dx.doi.org/10.1023/A:1026116017725;;Journal of Computer-Aided Molecular Design;journals/jcamd/RavnaSD03;2011-05-24;;;5-6;367-382;;;;;;;Molecular model of the neural dopamine transporter.;;;db/journals/jcamd/jcamd17.html#RavnaSD03;17;2003
2857478;Carolina de Gregorio-Alapont|Jorge Gálvez|Ramón García-Domenech;;;;;;;http://dx.doi.org/10.1023/A:1008117819201;;Journal of Computer-Aided Molecular Design;journals/jcamd/GalvezGG00;2011-05-24;;;7;679-687;;;;;;;Indices of differences of path lengths: Novel topological descriptors derived from electronic interferences in graphs.;;;db/journals/jcamd/jcamd14.html#GalvezGG00;14;2000
2857479;Ali Ahmed 0003|Ammar Abdo|Faisal Saeed|Hamza Hentabli|Naomie Salim;;;;;;;http://dx.doi.org/10.1007/s10822-012-9543-4;;Journal of Computer-Aided Molecular Design;journals/jcamd/AbdoSHAS12;2013-07-25;;;3;279-287;;;;;;;Ligand expansion in ligand-based virtual screening using relevance feedback.;;;db/journals/jcamd/jcamd26.html#AbdoSHAS12;26;2012
2857480;Frank K. Brown;;;;;;;http://dx.doi.org/10.1007/s10822-011-9491-4;;Journal of Computer-Aided Molecular Design;journals/jcamd/Brown12;2012-01-31;;;1;27-28;;;;;;;Democratization of computational chemistry and Chem(o)informatics.;;;db/journals/jcamd/jcamd26.html#Brown12;26;2012
2857481;Douglas R. Henry|John H. Block;;;;;;;http://dx.doi.org/10.1007/s10822-008-9176-9;;Journal of Computer-Aided Molecular Design;journals/jcamd/BlockH08;2014-02-12;;;6-7;385-392;;;;;;;Evaluation of descriptors and classification schemes to predict cytochrome substrates in terms of chemical information.;;;db/journals/jcamd/jcamd22.html#BlockH08;22;2008
2857482;Joel L. Sussman|Ron Unger;;;;;;;http://dx.doi.org/10.1007/BF02337561;;Journal of Computer-Aided Molecular Design;journals/jcamd/UngerS93;2011-05-24;;;4;457-472;;;;;;;The importance of short structural motifs in protein structure analysis.;;;db/journals/jcamd/jcamd7.html#UngerS93;7;1993
2857483;Angel R. Ortiz|Carlos Pérez|Kun Wang|Marta Murcia|Pere Constans;;;;;;;http://dx.doi.org/10.1023/B:jcam.0000030033.26053.40;;Journal of Computer-Aided Molecular Design;journals/jcamd/WangMCPO04;2011-05-24;;;2;101-118;;;;;;;Gaussian mapping of chemical fragments in ligand binding sites.;;;db/journals/jcamd/jcamd18.html#WangMCPO04;18;2004
2857484;Garland R. Marshall|Sage Arbor;;;;;;;http://dx.doi.org/10.1007/s10822-008-9241-4;;Journal of Computer-Aided Molecular Design;journals/jcamd/ArborM09;2009-04-20;;;2;87-95;;;;;;;A virtual library of constrained cyclic tetrapeptides that mimics all four side-chain orientations for over half the reverse turns in the protein data bank.;;;db/journals/jcamd/jcamd23.html#ArborM09;23;2009
2857485;Alexander Golbraikh|Alexander Tropsha|Denise G. Teotico|Jui-Hua Hsieh|Xiang S. Wang;;;;;;;http://dx.doi.org/10.1007/s10822-008-9199-2;k;Journal of Computer-Aided Molecular Design;journals/jcamd/HsiehWTGT08;2014-02-12;;;9;593-609;;;;;;;Differentiation of AmpC beta-lactamase binders vs. decoys using classification ;;;db/journals/jcamd/jcamd22.html#HsiehWTGT08;22;2008
2857486;Antreas Afantitis|Georgia Melagraki|Haralambos Sarimveis|John Markopoulos|Olga Igglessi-Markopoulou|Panayiotis A. Koutentis;;;;;;;http://dx.doi.org/10.1007/s10822-007-9112-4;;Journal of Computer-Aided Molecular Design;journals/jcamd/MelagrakiASKMI07;2014-02-16;;;5;251-267;;;;;;;Optimization of biaryl piperidine and 4-amino-2-biarylurea MCH1 receptor antagonists using QSAR modeling, classification techniques and virtual screening.;;;db/journals/jcamd/jcamd21.html#MelagrakiASKMI07;21;2007
2857487;Andrew R. Leach|Simon R. Kilvington;;;;;;;http://dx.doi.org/10.1007/BF00126746;;Journal of Computer-Aided Molecular Design;journals/jcamd/LeachK94;2011-05-24;;;3;283-298;;;;;;;Automated molecular design: A new fragment-joining algorithm.;;;db/journals/jcamd/jcamd8.html#LeachK94;8;1994
2857488;A. Barth|R. L. Schowen|T. Hofmann|T. Lehmann|W. Brandt;;;;;;;http://dx.doi.org/10.1007/BF00129426;;Journal of Computer-Aided Molecular Design;journals/jcamd/BrandtLHSB92;2011-05-24;;;2;159-174;;;;;;;The probable conformation of substrates recognized by dipeptidyl-peptidase IV and some aspects of the Catalytic mechanism derived from theoretical investigations.;;;db/journals/jcamd/jcamd6.html#BrandtLHSB92;6;1992
2857489;Changhai Zhou|Jing Liu|Liang Chang|Man Xu;;;;;;;http://dx.doi.org/10.1007/s10822-009-9312-1;;Journal of Computer-Aided Molecular Design;journals/jcamd/ChangZXL10;2010-09-29;;;1;37-47;;;;;;;Interactions between anti-ErbB2 antibody A21 and the ErbB2 extracellular domain provide a basis for improving A21 affinity.;;;db/journals/jcamd/jcamd24.html#ChangZXL10;24;2010
2857490;Ard Teisman|Claire E. Mackie|Luca A. Fenu|Marjoleen J. M. A. Nijsen|Ron A. H. J. Gilissen|Stefan S. De Buck|Vikash K. Sinha|Wendy E. Sanderson;;;;;;;http://dx.doi.org/10.1007/s10822-009-9306-z;in silico;Journal of Computer-Aided Molecular Design;journals/jcamd/FenuTBSGNMS09;2010-03-22;;;12;883-895;;;;;;;Cardio-vascular safety beyond hERG: ;;;db/journals/jcamd/jcamd23.html#FenuTBSGNMS09;23;2009
2857491;Andrew Chadwick|Matthew D. Segall;;;;;;;http://dx.doi.org/10.1007/s10822-010-9388-7;;Journal of Computer-Aided Molecular Design;journals/jcamd/SegallC10;2014-02-12;;;12;957-960;;;;;;;Making priors a priority.;;;db/journals/jcamd/jcamd24.html#SegallC10;24;2010
2857492;Anders Karlén|Collen M. Masimirembwa|Ismael Zamora|Lovisa Afzelius|Tommy B. Andersson;;;;;;;http://dx.doi.org/10.1023/A:1021281008423;;Journal of Computer-Aided Molecular Design;journals/jcamd/AfzeliusMKAZ02;2011-05-24;;;7;443-458;;;;;;;Discriminant and quantitative PLS analysis of competitive CYP2C9 inhibitors versus non-inhibitors using alignment independent GRIND descriptors.;;;db/journals/jcamd/jcamd16.html#AfzeliusMKAZ02;16;2002
2857493;Begoña Hernández|F. Javier Luque|Modesto Orozco;;;;;;;http://dx.doi.org/10.1007/BF00134177;;Journal of Computer-Aided Molecular Design;journals/jcamd/HernandezOL96;2011-05-24;;;6;535-544;;;;;;;Tautomerism of xanthine and alloxanthine: A model for substrate recognition by xanthine oxidase.;;;db/journals/jcamd/jcamd10.html#HernandezOL96;10;1996
2857494;Juan J. Perez|Nuria B. Centeno;;;;;;;http://dx.doi.org/10.1023/A:1007994502997;;Journal of Computer-Aided Molecular Design;journals/jcamd/CentenoP98;2011-05-24;;;1;7-14;;;;;;;A proposed bioactive conformation of Peptide T.;;;db/journals/jcamd/jcamd12.html#CentenoP98;12;1998
2857495;Jacob Kongsted|Ulf Ryde;;;;;;;http://dx.doi.org/10.1007/s10822-008-9238-z;;Journal of Computer-Aided Molecular Design;journals/jcamd/KongstedR09;2009-04-20;;;2;63-71;;;;;;;An improved method to predict the entropy term with the MM/PBSA approach.;;;db/journals/jcamd/jcamd23.html#KongstedR09;23;2009
2857496;Anke Bachelier|Christian D. Klein;;;;;;;http://dx.doi.org/10.1007/s10822-006-9062-2;;Journal of Computer-Aided Molecular Design;journals/jcamd/KleinB06;2014-02-16;;;10-11;621-628;;;;;;;Molecular modeling and bioinformatical analysis of the antibacterial target enzyme MurA from a drug design perspective.;;;db/journals/jcamd/jcamd20.html#KleinB06;20;2006
2857497;Hans-Dieter Höltje|Paul A. M. van Hooft;;;;;;;http://dx.doi.org/10.1023/A:1008164914993;;Journal of Computer-Aided Molecular Design;journals/jcamd/HooftH00;2011-05-24;;;8;719-730;;;;;;;Construction of a full three-dimensional model of the transpeptidase domain of Streptococcus pneumoniae PBP2x starting from its C-alpha-atom coordinates.;;;db/journals/jcamd/jcamd14.html#HooftH00;14;2000
2857498;Jun-Ichiro Inoue|Maria João Ramos|Masami Otsuka|Rakesh K. Sharma|Vineet Pande;;;;;;;http://dx.doi.org/10.1023/B:JCAM.0000021835.72265.63;;Journal of Computer-Aided Molecular Design;journals/jcamd/PandeSIOR03;2011-05-24;;;12;825-836;;;;;;;A molecular modeling study of inhibitors of nuclear factor kappa-B (p50) - DNA binding.;;;db/journals/jcamd/jcamd17.html#PandeSIOR03;17;2003
2857499;Bing Zhang|Kian Meng Lim|Tong Earn Tay|Vincent B. C. Tan;;;;;;;http://dx.doi.org/10.1007/s10822-006-9081-z;;Journal of Computer-Aided Molecular Design;journals/jcamd/ZhangTLT06;2014-02-16;;;6;395-404;;;;;;;Molecular dynamics simulations on the inhibition of Cyclin-Dependent Kinases 2 and 5 in the presence of activators.;;;db/journals/jcamd/jcamd20.html#ZhangTLT06;20;2006
